username,password,email,gameID,isHost,points,week,GK0,DF0,DF1,DF2,DF3,MF0,MF1,MF2,MF3,FW0,FW1,SUB0,SUB1,SUB2,SUB3,SUB4,SUB5
adtonks,dog,tonks@yahoo.com,1002,1,5,-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
logan_213,cat,ye@live.com,1003,0,2,-1,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
cool.charis,abc!@#$,charis@yale.edu,1004,1,0,-1,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
chatInHat,ihatedogs,cat@bonjour.fr,1002,0,6,-1,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
bill,qwerty,billy@bob.co.uk,1002,0,1,-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
john,johnson,john@john.jp,1002,0,3,-1,7,4,5,2,53,54,55,56,57,58,59,60,61,62,63,64,65
charis,password,hsifoodifhsdfs,1000,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
helloworld,wassup,wpoqiepqowieopq,1000,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
testdraft,dkfjldskjld,fdjskldjslkd,1000,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dfkjfslkdfslk,sdfjkkldfj,dlaksfjlkfjd,1000,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dsfldkfd,lkzdjflksj,sldkjflksd,1001,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sdfd,sd,dsfd,1001,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
newtest,hello,ldkfjlkjslkdsdfs,1005,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
testone,hello,fsdsdsddfs,1005,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
testtwo,hello,fsdsdsddfs,1005,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hi,there,slfkjlksdjf,1005,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
testfour,four,dflkjsldkjf,1006,1,0,-1,48,47,49,50,51,52,53,54,46,55,56,57,58,45,60,61,62
